"n","p","epsilon","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60"
175,1,0.5,0.25,0.272727272727273,0.295454545454545,0.318181818181818,0.295454545454545,0.272727272727273,0.295454545454545,0.318181818181818,0.295454545454545,0.340909090909091,0.272727272727273,0.318181818181818,0.340909090909091,0.318181818181818,0.340909090909091,0.272727272727273,0.318181818181818,0.318181818181818,0.295454545454545,0.318181818181818,0.318181818181818,0.295454545454545,0.295454545454545,0.363636363636364,0.340909090909091,0.295454545454545,0.295454545454545,0.295454545454545,0.295454545454545,0.318181818181818,0.340909090909091,0.272727272727273,0.272727272727273,0.295454545454545,0.318181818181818,0.318181818181818,0.272727272727273,0.25,0.340909090909091,0.227272727272727,0.25,0.295454545454545,0.295454545454545,0.295454545454545,0.272727272727273,0.295454545454545,0.25,0.272727272727273,0.295454545454545,0.295454545454545,0.272727272727273,0.340909090909091,0.340909090909091,0.340909090909091,0.25,0.318181818181818,0.272727272727273,0.318181818181818,0.295454545454545,0.340909090909091
250,1,0.5,0.290322580645161,0.258064516129032,0.274193548387097,0.225806451612903,0.306451612903226,0.274193548387097,0.274193548387097,0.258064516129032,0.290322580645161,0.258064516129032,0.274193548387097,0.290322580645161,0.209677419354839,0.225806451612903,0.241935483870968,0.241935483870968,0.290322580645161,0.209677419354839,0.241935483870968,0.241935483870968,0.241935483870968,0.258064516129032,0.290322580645161,0.274193548387097,0.258064516129032,0.258064516129032,0.258064516129032,0.274193548387097,0.241935483870968,0.241935483870968,0.241935483870968,0.274193548387097,0.241935483870968,0.225806451612903,0.274193548387097,0.274193548387097,0.241935483870968,0.258064516129032,0.241935483870968,0.209677419354839,0.258064516129032,0.258064516129032,0.258064516129032,0.225806451612903,0.241935483870968,0.241935483870968,0.274193548387097,0.274193548387097,0.258064516129032,0.274193548387097,0.258064516129032,0.241935483870968,0.258064516129032,0.274193548387097,0.290322580645161,0.258064516129032,0.241935483870968,0.290322580645161,0.274193548387097,0.274193548387097
325,1,0.5,0.259259259259259,0.259259259259259,0.271604938271605,0.296296296296296,0.283950617283951,0.271604938271605,0.271604938271605,0.296296296296296,0.271604938271605,0.246913580246914,0.259259259259259,0.259259259259259,0.259259259259259,0.246913580246914,0.271604938271605,0.271604938271605,0.296296296296296,0.259259259259259,0.283950617283951,0.259259259259259,0.283950617283951,0.259259259259259,0.259259259259259,0.283950617283951,0.246913580246914,0.308641975308642,0.246913580246914,0.271604938271605,0.259259259259259,0.259259259259259,0.283950617283951,0.209876543209877,0.259259259259259,0.259259259259259,0.271604938271605,0.271604938271605,0.259259259259259,0.271604938271605,0.234567901234568,0.259259259259259,0.283950617283951,0.271604938271605,0.259259259259259,0.271604938271605,0.271604938271605,0.246913580246914,0.271604938271605,0.271604938271605,0.283950617283951,0.271604938271605,0.222222222222222,0.283950617283951,0.296296296296296,0.271604938271605,0.271604938271605,0.271604938271605,0.283950617283951,0.246913580246914,0.271604938271605,0.296296296296296
400,1,0.5,0.2,0.18,0.16,0.17,0.19,0.19,0.17,0.2,0.22,0.18,0.2,0.19,0.19,0.17,0.17,0.18,0.21,0.2,0.17,0.22,0.15,0.18,0.2,0.19,0.17,0.19,0.18,0.19,0.19,0.2,0.17,0.2,0.19,0.19,0.17,0.2,0.17,0.19,0.16,0.18,0.19,0.18,0.19,0.2,0.19,0.18,0.19,0.19,0.2,0.19,0.17,0.19,0.2,0.16,0.19,0.19,0.17,0.18,0.18,0.16
475,1,0.5,0.117647058823529,0.134453781512605,0.142857142857143,0.151260504201681,0.134453781512605,0.126050420168067,0.126050420168067,0.117647058823529,0.126050420168067,0.142857142857143,0.134453781512605,0.159663865546218,0.126050420168067,0.117647058823529,0.109243697478992,0.126050420168067,0.142857142857143,0.151260504201681,0.142857142857143,0.134453781512605,0.159663865546218,0.134453781512605,0.134453781512605,0.117647058823529,0.126050420168067,0.126050420168067,0.159663865546218,0.117647058823529,0.117647058823529,0.126050420168067,0.117647058823529,0.142857142857143,0.126050420168067,0.142857142857143,0.134453781512605,0.142857142857143,0.151260504201681,0.126050420168067,0.117647058823529,0.117647058823529,0.117647058823529,0.134453781512605,0.142857142857143,0.134453781512605,0.151260504201681,0.092436974789916,0.126050420168067,0.134453781512605,0.117647058823529,0.151260504201681,0.134453781512605,0.126050420168067,0.134453781512605,0.109243697478992,0.134453781512605,0.092436974789916,0.142857142857143,0.100840336134454,0.117647058823529,0.126050420168067
550,1,0.5,0.130434782608696,0.13768115942029,0.144927536231884,0.144927536231884,0.144927536231884,0.144927536231884,0.130434782608696,0.144927536231884,0.152173913043478,0.144927536231884,0.130434782608696,0.144927536231884,0.130434782608696,0.130434782608696,0.13768115942029,0.123188405797101,0.13768115942029,0.144927536231884,0.115942028985507,0.130434782608696,0.130434782608696,0.152173913043478,0.144927536231884,0.123188405797101,0.152173913043478,0.130434782608696,0.159420289855073,0.173913043478261,0.130434782608696,0.152173913043478,0.144927536231884,0.130434782608696,0.130434782608696,0.144927536231884,0.152173913043478,0.144927536231884,0.152173913043478,0.130434782608696,0.159420289855073,0.13768115942029,0.13768115942029,0.130434782608696,0.130434782608696,0.152173913043478,0.152173913043478,0.13768115942029,0.152173913043478,0.123188405797101,0.13768115942029,0.152173913043478,0.144927536231884,0.159420289855073,0.159420289855073,0.13768115942029,0.166666666666667,0.144927536231884,0.130434782608696,0.13768115942029,0.130434782608696,0.144927536231884
625,1,0.5,0.0961538461538461,0.108974358974359,0.0961538461538461,0.0961538461538461,0.102564102564103,0.0833333333333334,0.0897435897435898,0.108974358974359,0.102564102564103,0.108974358974359,0.108974358974359,0.0897435897435898,0.0961538461538461,0.102564102564103,0.0897435897435898,0.0833333333333334,0.0961538461538461,0.115384615384615,0.115384615384615,0.0897435897435898,0.0897435897435898,0.102564102564103,0.102564102564103,0.108974358974359,0.0897435897435898,0.102564102564103,0.0961538461538461,0.108974358974359,0.121794871794872,0.0897435897435898,0.121794871794872,0.0961538461538461,0.0769230769230769,0.102564102564103,0.0769230769230769,0.108974358974359,0.108974358974359,0.108974358974359,0.102564102564103,0.108974358974359,0.0897435897435898,0.0705128205128205,0.0897435897435898,0.0961538461538461,0.0897435897435898,0.115384615384615,0.0961538461538461,0.121794871794872,0.102564102564103,0.0833333333333334,0.0705128205128205,0.108974358974359,0.0897435897435898,0.0833333333333334,0.0961538461538461,0.0769230769230769,0.102564102564103,0.102564102564103,0.0769230769230769,0.108974358974359
700,1,0.5,0.102857142857143,0.0971428571428572,0.102857142857143,0.08,0.0971428571428572,0.0857142857142857,0.0857142857142857,0.0742857142857143,0.0857142857142857,0.0857142857142857,0.0857142857142857,0.0857142857142857,0.0857142857142857,0.0914285714285714,0.0857142857142857,0.0857142857142857,0.0685714285714286,0.0971428571428572,0.08,0.0914285714285714,0.0971428571428572,0.0857142857142857,0.102857142857143,0.08,0.108571428571429,0.102857142857143,0.0857142857142857,0.108571428571429,0.08,0.0857142857142857,0.08,0.0857142857142857,0.0857142857142857,0.0857142857142857,0.0857142857142857,0.0685714285714286,0.0857142857142857,0.0857142857142857,0.0914285714285714,0.0971428571428572,0.108571428571429,0.0914285714285714,0.0685714285714286,0.0971428571428572,0.0857142857142857,0.0857142857142857,0.0742857142857143,0.0742857142857143,0.0742857142857143,0.0628571428571428,0.0857142857142857,0.0742857142857143,0.0742857142857143,0.0857142857142857,0.0685714285714286,0.0857142857142857,0.0742857142857143,0.0914285714285714,0.08,0.0742857142857143
100,0.5,2.5,0.24,0.32,0.32,0.28,0.2,0.32,0.32,0.24,0.24,0.2,0.28,0.32,0.28,0.28,0.28,0.24,0.28,0.28,0.2,0.2,0.16,0.28,0.32,0.2,0.32,0.32,0.24,0.28,0.32,0.24,0.36,0.32,0.2,0.28,0.24,0.36,0.44,0.28,0.2,0.28,0.36,0.28,0.2,0.2,0.2,0.28,0.24,0.28,0.32,0.24,0.44,0.28,0.2,0.24,0.16,0.24,0.32,0.16,0.24,0.16
175,0.5,2.5,0.181818181818182,0.181818181818182,0.181818181818182,0.25,0.204545454545455,0.181818181818182,0.204545454545455,0.204545454545455,0.227272727272727,0.25,0.181818181818182,0.204545454545455,0.227272727272727,0.159090909090909,0.181818181818182,0.181818181818182,0.204545454545455,0.272727272727273,0.113636363636364,0.272727272727273,0.227272727272727,0.227272727272727,0.181818181818182,0.227272727272727,0.204545454545455,0.227272727272727,0.204545454545455,0.227272727272727,0.227272727272727,0.181818181818182,0.204545454545455,0.159090909090909,0.25,0.204545454545455,0.204545454545455,0.181818181818182,0.25,0.227272727272727,0.227272727272727,0.227272727272727,0.25,0.181818181818182,0.227272727272727,0.25,0.227272727272727,0.25,0.181818181818182,0.272727272727273,0.204545454545455,0.204545454545455,0.204545454545455,0.181818181818182,0.272727272727273,0.272727272727273,0.181818181818182,0.227272727272727,0.25,0.272727272727273,0.159090909090909,0.136363636363636
