"n","p","epsilon","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60"
175,1,0.5,-0.0858068819518506,-0.137888477827625,-0.0523321723965837,0.0635394561518696,-0.00227167463734628,-0.0871096164532881,-0.0697024593126525,0.0302600357978014,-0.259542244423294,-0.035554527720982,-0.120453367209276,0.128624323243212,0.207640052321851,0.0306886539759216,0.0137024656019933,-0.00243798360168349,0.192171185806822,-0.0357110962413374,0.0794629772293733,0.0136418206589468,-0.10411944438758,0.0143382057870558,0.079322965796442,-0.153689339732288,-0.0861438550867591,-0.0699393493344204,-0.00275673390165025,-0.00242410206984797,-0.137487208129486,-0.0187541236535177,-0.0528740490385879,0.0129451212269148,-0.00270315109372678,-0.0693866917533861,0.0139579381163255,-0.00246986290540302,0.160383854423934,-0.0527019942890346,-0.00282064830221219,0.0141470976172177,0.029785779968237,-0.137017955043047,-0.242493344096258,-0.0190560455537803,0.0140694331510536,0.112012382636962,-0.224177438655263,-0.242573242488079,0.0137531924472287,-0.0515000621075498,0.0632427381360456,-0.00288855027408768,-0.119861330986902,-0.0528919004446589,0.0138113930960055,0.0459888654285416,0.143920045991973,-0.0195266650700448,-0.0195571876013746,0.127801621483803
250,1,0.5,-0.517749799257848,-0.371235236002256,-0.538282309499926,-0.544800461282123,-0.522585132681722,-0.533856824957006,-0.424623774270928,-0.582877581191675,-0.500847516580964,-0.478965182556966,-0.478809574466026,-0.57807873485059,-0.534148207950724,-0.522656003000585,-0.511554975307694,-0.371249738490034,-0.512432246944252,-0.467866470604765,-0.578418583610697,-0.501214630557078,-0.544831316485062,-0.534047266499751,-0.457344217223659,-0.556148242077393,-0.560156277185851,-0.456949113259388,-0.468103587560717,-0.522854244574924,-0.468754413594677,-0.5437507648497,-0.554637501470992,-0.446676238879631,-0.424591628291195,-0.446855316999806,-0.594714132517554,-0.511881146456712,-0.600367214522261,-0.446176988312487,-0.392947869745102,-0.545211037380972,-0.566964678327564,-0.414168022425578,-0.403277662751843,-0.446560746731857,-0.523124718512668,-0.435532911984027,-0.606892997719822,-0.502967831299117,-0.489771345564674,-0.382331829887922,-0.500989655352303,-0.522743730137967,-0.522829210665462,-0.512315263799443,-0.556565407981997,-0.544708668438961,-0.44609537868913,-0.578537560839142,-0.489993066093665,-0.468008884122676
325,1,0.5,-0.414267137575488,-0.402206737273706,-0.461200566382735,-0.427130462001049,-0.384374789862841,-0.398852936466206,-0.471951341014608,-0.43068784753856,-0.351144876356451,-0.376370788610369,-0.411031537606766,-0.390032532493162,-0.457734768757438,-0.43054323863238,-0.453993333745286,-0.414262880498487,-0.414349376595573,-0.420870821968597,-0.408119448167868,-0.321426759315688,-0.414401506177034,-0.411468218182078,-0.402157767962651,-0.399278215569502,-0.387162898009152,-0.370082755647684,-0.447201313641791,-0.414481717490305,-0.393122235489452,-0.407984840259965,-0.384192779465936,-0.396020519452137,-0.37589877791247,-0.390291608172248,-0.405090092798937,-0.373126306340394,-0.414324054778715,-0.430363173494302,-0.399006925096309,-0.390106548761907,-0.430676986473021,-0.390027479922037,-0.440494916574701,-0.390006154989899,-0.427280880327749,-0.39290183301078,-0.37020721365169,-0.392902231443681,-0.393189663312179,-0.443787156529175,-0.328515725205719,-0.396238671401669,-0.395765404735698,-0.402018006775957,-0.436891692725592,-0.393085915192719,-0.411163084323781,-0.417519537092205,-0.440235621088564,-0.393111782590369
400,1,0.5,-0.560480458931133,-0.580414945084656,-0.622378954117213,-0.584770959476826,-0.613721962157965,-0.629815842557175,-0.569321267930205,-0.608942468840644,-0.534260242248205,-0.588549868727527,-0.588251676039401,-0.572609555840098,-0.56075280712057,-0.534432113406301,-0.621924479133507,-0.60543579268544,-0.600893132643226,-0.580261526501573,-0.60938144355058,-0.613450833345326,-0.588722694168312,-0.619063758379469,-0.639973571222808,-0.600678199904165,-0.613529102113463,-0.572445635017792,-0.571972590687058,-0.553129949440742,-0.548690109571036,-0.531357163441992,-0.545203137005479,-0.552988706705222,-0.639342005197345,-0.564336937583379,-0.596965790815635,-0.653867106040309,-0.545663588542478,-0.527410687967446,-0.600381532336206,-0.61713808646523,-0.658071759037222,-0.572660187625147,-0.568638042957029,-0.592572826982463,-0.556734843731448,-0.545442003521359,-0.560682570640092,-0.622143864056032,-0.580911769066494,-0.549178180216666,-0.635735498148822,-0.617546233601887,-0.57972409930608,-0.664317275749537,-0.587879798052181,-0.640186779553391,-0.59319429038325,-0.556895125461091,-0.553101567941272,-0.591847796177573
475,1,0.5,-0.696494240331984,-0.71999857001118,-0.739322745225081,-0.657182248015508,-0.683375607524653,-0.667485793975785,-0.685692448947916,-0.701308896556994,-0.668069176138084,-0.652381185623708,-0.707071583790281,-0.676309069952734,-0.680609603983476,-0.723682899188806,-0.726388167944655,-0.641638100843923,-0.708972286450896,-0.677893304217074,-0.714265017658975,-0.743883357410318,-0.661685391911646,-0.733612593874783,-0.700993888036289,-0.651155551458954,-0.718496685613868,-0.740039048857654,-0.691771122186548,-0.666427312004315,-0.675262421924542,-0.733003643090272,-0.656336873433761,-0.690382973476315,-0.721725441829725,-0.657693980480921,-0.6677187004083,-0.704338227421674,-0.702366829469746,-0.651209130009358,-0.727211546810454,-0.67878238231906,-0.705449225108651,-0.778902579608576,-0.675271062236639,-0.674919827583427,-0.650617851863581,-0.644719709654299,-0.750523238054998,-0.670030550772405,-0.674341557390874,-0.632987001072839,-0.711007215500614,-0.752269567726506,-0.76318899703307,-0.710906840605006,-0.777359351831426,-0.758360255662748,-0.710840218646685,-0.708533373727794,-0.676473237280635,-0.625020162348399
550,1,0.5,-0.754776184637084,-0.744484392616242,-0.726830957701801,-0.761426530884144,-0.772870153138161,-0.753271323130951,-0.737196444217289,-0.714933192695366,-0.678485792625597,-0.737065929326716,-0.771631474062892,-0.749752893369048,-0.755206581363898,-0.714558240234772,-0.772980154230886,-0.703695971380461,-0.763859333477306,-0.724325409174544,-0.759011040214459,-0.754950612019371,-0.696681297225443,-0.741256217909022,-0.736979408953473,-0.660814801941051,-0.748408025543118,-0.74856747440879,-0.730164956189654,-0.775827085203193,-0.715694798506164,-0.764133655105483,-0.752378553039877,-0.756152337948139,-0.796357193854269,-0.719077022211541,-0.774853677498545,-0.723735083737405,-0.737235784328188,-0.686069059967809,-0.726821916089357,-0.694455115819025,-0.750113889992162,-0.75216651343622,-0.764318724044775,-0.731161229029293,-0.735526041993613,-0.772754337231616,-0.741311238720563,-0.757699489121914,-0.753202373148437,-0.73305800005864,-0.686069815156137,-0.728289149172823,-0.733309279734554,-0.712577159579377,-0.714981803646332,-0.782305883250932,-0.782052203896725,-0.703758700866757,-0.681871669269978,-0.747815510904245
625,1,0.5,-0.791160675429223,-0.780106255164902,-0.842501991305895,-0.833022635744578,-0.772694976111429,-0.744449100346243,-0.820414131692915,-0.764618576549092,-0.82049738278844,-0.786854072991992,-0.799913662695135,-0.817559717196976,-0.782416332228321,-0.843932090950205,-0.825035799668151,-0.884605970287943,-0.822145092595518,-0.772497407724109,-0.822157596928581,-0.862765950306688,-0.806611980501471,-0.829570560040926,-0.791088051189248,-0.811398835147573,-0.862555623938566,-0.817457256722747,-0.817611601727364,-0.826536107039762,-0.831195100854414,-0.790920152103793,-0.811348749856252,-0.808643859888747,-0.786854113299023,-0.83410736926317,-0.882595654803543,-0.781292764344869,-0.768824116676441,-0.811555122625986,-0.82476472952891,-0.793786270357898,-0.763631505475978,-0.721412852530039,-0.834144110326626,-0.7685002348883,-0.879417201646488,-0.864447657989654,-0.83411074881432,-0.816221553377836,-0.835746083742545,-0.789595162108615,-0.838783184049003,-0.840427234569283,-0.841836096274969,-0.831003844791628,-0.81126103608988,-0.848476171968456,-0.799412505524088,-0.807079484911152,-0.839084626215284,-0.795618608933444
700,1,0.5,-0.859925694119781,-0.844590053480087,-0.873127959081991,-0.904103629349431,-0.807687589229513,-0.800852495803947,-0.887328467978454,-0.877935084922815,-0.889640513001151,-0.843130443645721,-0.852306435830772,-0.892914812808603,-0.87730586115354,-0.863418901442166,-0.914436785711973,-0.844067346401233,-0.838230197427382,-0.855608135449871,-0.770691039389111,-0.846557280778931,-0.877361476395393,-0.806973264652265,-0.832615481464515,-0.840266225238061,-0.862093593564615,-0.87779723912634,-0.826436210402551,-0.853836394713054,-0.863762566921168,-0.806343703205382,-0.909022549904891,-0.920581248658925,-0.832981859152802,-0.901266056727034,-0.857777219961547,-0.870139688442227,-0.75677119391227,-0.843524185329249,-0.856754951789313,-0.854901203437725,-0.877809898521225,-0.809734833790917,-0.867510427531611,-0.869634306619195,-0.860598425459169,-0.87573905773315,-0.870721295458471,-0.773443040905807,-0.81034933256314,-0.865434005606425,-0.801740520012294,-0.895474806376876,-0.821024755553698,-0.835770769458342,-0.797926628838177,-0.889326253860185,-0.839221990219486,-0.91235670147001,-0.881029467354243,-0.852207313419298
100,0.5,2.5,-0.668268487259941,-0.731756730603017,-0.638401759524235,-0.564305348895126,-0.581917838154585,-0.701767550128589,-0.621710870633731,-0.695862561168418,-0.655292718056553,-0.724797725173555,-0.726861688509908,-0.755159431208521,-0.563521926680289,-0.733644846695498,-0.575661546950913,-0.616365980538004,-0.654199022840273,-0.627975593352612,-0.645430220266417,-0.680956707533344,-0.741750869379716,-0.594992450347459,-0.724195495989224,-0.710481446256958,-0.59333761469685,-0.680393168163392,-0.691181223923184,-0.751027143491208,-0.623991299445627,-0.636452583202443,-0.643172971396893,-0.616018246684748,-0.689439959914097,-0.734018122791227,-0.683278420243008,-0.728469191253326,-0.660989758039532,-0.742924831702128,-0.600818455324075,-0.684875243659422,-0.60909229349027,-0.683125032068166,-0.535861265819433,-0.63675225921808,-0.693943171050044,-0.683521668223832,-0.714954965818556,-0.760967394419365,-0.77845836742265,-0.533489572443088,-0.640701247218106,-0.659475652871086,-0.583686995806754,-0.614040276828577,-0.690973438547981,-0.56940254006091,-0.713544286019052,-0.718937495560985,-0.651090373318775,-0.560446747085416
175,0.5,2.5,-0.812616737570306,-0.745969065059896,-0.677813815003081,-0.708968550015702,-0.701886389667906,-0.683211001910038,-0.669054945324894,-0.685144021865349,-0.725015930267289,-0.707158139978049,-0.656847571640654,-0.770533004873992,-0.770834382266593,-0.72571556156272,-0.74700444176163,-0.737432469209244,-0.699473092293482,-0.661496887095492,-0.66955101602495,-0.728215356224611,-0.796993441838171,-0.712032412411906,-0.67200454869244,-0.70059516079705,-0.770210776577575,-0.659524748818269,-0.75286743638,-0.757393473449412,-0.796688013679211,-0.745310855745998,-0.750644438629133,-0.748258827108377,-0.727608564568728,-0.713670401448961,-0.716381010535463,-0.660692751460618,-0.739566678654786,-0.677703086867464,-0.712952356371352,-0.753862728286278,-0.782766770601414,-0.752228809504121,-0.763514400558819,-0.713437882318376,-0.734440134445042,-0.657287916779744,-0.696127067012888,-0.662581608257794,-0.727466456534989,-0.724905267634585,-0.732691347508707,-0.772573118529213,-0.693824926486729,-0.727675014794948,-0.739874815218185,-0.736156994448965,-0.706644553929925,-0.702914951072766,-0.798388423093046,-0.76953698668565
