
 Iteration  50  for n, p, epsilon =  100 1 2.5
 Iteration  47  for n, p, epsilon =  100 1 2.5
 Iteration  49  for n, p, epsilon =  100 1 2.5
 Iteration  52  for n, p, epsilon =  100 1 2.5
 Iteration  46  for n, p, epsilon =  100 1 1000
 Iteration  44  for n, p, epsilon =  100 1 2.5
 Iteration  55  for n, p, epsilon =  100 1 2.5
 Iteration  45  for n, p, epsilon =  100 1 2.5
 Iteration  51  for n, p, epsilon =  100 1 2.5
 Iteration  53  for n, p, epsilon =  100 1 2.5
 Iteration  57  for n, p, epsilon =  100 1 2.5
 Iteration  54  for n, p, epsilon =  100 1 2.5
 Iteration  48  for n, p, epsilon =  100 1 2.5
 Iteration  47  for n, p, epsilon =  100 1 1000
 Iteration  50  for n, p, epsilon =  100 1 1000
 Iteration  58  for n, p, epsilon =  100 1 2.5
 Iteration  49  for n, p, epsilon =  100 1 1000
 Iteration  56  for n, p, epsilon =  100 1 2.5
 Iteration  52  for n, p, epsilon =  100 1 1000
 Iteration  55  for n, p, epsilon =  100 1 1000
 Iteration  53  for n, p, epsilon =  100 1 1000
 Iteration  57  for n, p, epsilon =  100 1 1000
 Iteration  51  for n, p, epsilon =  100 1 1000
 Iteration  54  for n, p, epsilon =  100 1 1000
 Iteration  44  for n, p, epsilon =  100 1 1000
 Iteration  48  for n, p, epsilon =  100 1 1000
 Iteration  59  for n, p, epsilon =  100 1 0.5
 Iteration  58  for n, p, epsilon =  100 1 1000
 Iteration  45  for n, p, epsilon =  100 1 1000
 Iteration  56  for n, p, epsilon =  100 1 1000
 Iteration  60  for n, p, epsilon =  100 1 0.5
 Iteration  62  for n, p, epsilon =  100 1 0.5
 Iteration  63  for n, p, epsilon =  100 1 0.5
 Iteration  61  for n, p, epsilon =  100 1 0.5
 Iteration  65  for n, p, epsilon =  100 1 0.5
 Iteration  64  for n, p, epsilon =  100 1 0.5
 Iteration  59  for n, p, epsilon =  100 1 0.75
 Iteration  67  for n, p, epsilon =  100 1 0.5
 Iteration  66  for n, p, epsilon =  100 1 0.5
 Iteration  68  for n, p, epsilon =  100 1 0.5
 Iteration  71  for n, p, epsilon =  100 1 0.5
 Iteration  70  for n, p, epsilon =  100 1 0.5
 Iteration  60  for n, p, epsilon =  100 1 0.75
 Iteration  73  for n, p, epsilon =  100 1 0.5
 Iteration  63  for n, p, epsilon =  100 1 0.75
 Iteration  61  for n, p, epsilon =  100 1 0.75
 Iteration  69  for n, p, epsilon =  100 1 0.5
 Iteration  59  for n, p, epsilon =  100 1 1
 Iteration  65  for n, p, epsilon =  100 1 0.75
 Iteration  64  for n, p, epsilon =  100 1 0.75
 Iteration  67  for n, p, epsilon =  100 1 0.75
 Iteration  62  for n, p, epsilon =  100 1 0.75
 Iteration  72  for n, p, epsilon =  100 1 0.5
 Iteration  68  for n, p, epsilon =  100 1 0.75
 Iteration  70  for n, p, epsilon =  100 1 0.75
 Iteration  66  for n, p, epsilon =  100 1 0.75
 Iteration  60  for n, p, epsilon =  100 1 1
 Iteration  59  for n, p, epsilon =  100 1 2.5
 Iteration  71  for n, p, epsilon =  100 1 0.75
 Iteration  61  for n, p, epsilon =  100 1 1
 Iteration  63  for n, p, epsilon =  100 1 1
 Iteration  73  for n, p, epsilon =  100 1 0.75
 Iteration  65  for n, p, epsilon =  100 1 1
 Iteration  62  for n, p, epsilon =  100 1 1
 Iteration  67  for n, p, epsilon =  100 1 1
 Iteration  64  for n, p, epsilon =  100 1 1
 Iteration  70  for n, p, epsilon =  100 1 1
 Iteration  59  for n, p, epsilon =  100 1 1000
 Iteration  60  for n, p, epsilon =  100 1 2.5
 Iteration  68  for n, p, epsilon =  100 1 1
 Iteration  61  for n, p, epsilon =  100 1 2.5
 Iteration  66  for n, p, epsilon =  100 1 1
 Iteration  72  for n, p, epsilon =  100 1 0.75
 Iteration  69  for n, p, epsilon =  100 1 0.75
 Iteration  71  for n, p, epsilon =  100 1 1
 Iteration  63  for n, p, epsilon =  100 1 2.5
 Iteration  65  for n, p, epsilon =  100 1 2.5
 Iteration  62  for n, p, epsilon =  100 1 2.5
 Iteration  73  for n, p, epsilon =  100 1 1
 Iteration  67  for n, p, epsilon =  100 1 2.5
 Iteration  70  for n, p, epsilon =  100 1 2.5
 Iteration  60  for n, p, epsilon =  100 1 1000
 Iteration  68  for n, p, epsilon =  100 1 2.5
 Iteration  64  for n, p, epsilon =  100 1 2.5
 Iteration  61  for n, p, epsilon =  100 1 1000
 Iteration  74  for n, p, epsilon =  100 1 0.5
 Iteration  65  for n, p, epsilon =  100 1 1000
 Iteration  63  for n, p, epsilon =  100 1 1000
 Iteration  66  for n, p, epsilon =  100 1 2.5
 Iteration  71  for n, p, epsilon =  100 1 2.5
 Iteration  62  for n, p, epsilon =  100 1 1000
 Iteration  73  for n, p, epsilon =  100 1 2.5
 Iteration  67  for n, p, epsilon =  100 1 1000
 Iteration  70  for n, p, epsilon =  100 1 1000
 Iteration  68  for n, p, epsilon =  100 1 1000
 Iteration  64  for n, p, epsilon =  100 1 1000
 Iteration  72  for n, p, epsilon =  100 1 1
 Iteration  76  for n, p, epsilon =  100 1 0.5
 Iteration  71  for n, p, epsilon =  100 1 1000
 Iteration  69  for n, p, epsilon =  100 1 1
 Iteration  66  for n, p, epsilon =  100 1 1000
 Iteration  75  for n, p, epsilon =  100 1 0.5
 Iteration  74  for n, p, epsilon =  100 1 0.75
 Iteration  73  for n, p, epsilon =  100 1 1000
 Iteration  77  for n, p, epsilon =  100 1 0.5
 Iteration  78  for n, p, epsilon =  100 1 0.5
 Iteration  79  for n, p, epsilon =  100 1 0.5
 Iteration  80  for n, p, epsilon =  100 1 0.5
 Iteration  82  for n, p, epsilon =  100 1 0.5
 Iteration  83  for n, p, epsilon =  100 1 0.5
 Iteration  81  for n, p, epsilon =  100 1 0.5
 Iteration  72  for n, p, epsilon =  100 1 2.5
 Iteration  76  for n, p, epsilon =  100 1 0.75
 Iteration  75  for n, p, epsilon =  100 1 0.75
 Iteration  69  for n, p, epsilon =  100 1 2.5
 Iteration  85  for n, p, epsilon =  100 1 0.5
 Iteration  77  for n, p, epsilon =  100 1 0.75
 Iteration  84  for n, p, epsilon =  100 1 0.5
 Iteration  74  for n, p, epsilon =  100 1 1
 Iteration  78  for n, p, epsilon =  100 1 0.75
 Iteration  80  for n, p, epsilon =  100 1 0.75
 Iteration  79  for n, p, epsilon =  100 1 0.75
 Iteration  86  for n, p, epsilon =  100 1 0.5
 Iteration  82  for n, p, epsilon =  100 1 0.75
 Iteration  81  for n, p, epsilon =  100 1 0.75
 Iteration  72  for n, p, epsilon =  100 1 1000
 Iteration  83  for n, p, epsilon =  100 1 0.75
